id,title,summary,domain,kind,collection,source,sourceUrl,reach,priority,status
wd-q87545873,𐆌,Greek sinusoid sign (U+1018C): designates year,Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87545873,1,False,Discovery lead
wd-q87545875,𐆍,"Greek indiction sign (U+1018D), used for timekeeping as a period for updating tax bases",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87545875,1,False,Discovery lead
wd-q136334529,🪎,treasure chest (U+1FA8E),Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q136334529,2,False,Discovery lead
wd-q66730348,#NiggerNavy,Twitter hashtag and Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q66730348,0,False,Discovery lead
wd-q137942152,#spoontok,TikTok meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q137942152,0,False,Discovery lead
wd-q61874916,(╯°_°）╯︵ ┻━┻,table flipping Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q61874916,1,False,Discovery lead
wd-q1069731,420,natural number,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q1069731,28,False,Discovery lead
wd-q123738713,42069,natural number and internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q123738713,0,False,Discovery lead
wd-q136163131,6-7,2025-2026 Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q136163131,49,False,Discovery lead
wd-q713048,69,natural number,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q713048,82,False,Discovery lead
wd-q111526145,69420,natural number and internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q111526145,0,False,Discovery lead
wd-q58317208,:^),Internet meme named and popularized on 4chan,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q58317208,0,False,Discovery lead
wd-q114347222,Aboba,Internet meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q114347222,1,False,Discovery lead
wd-q138847774,Abril-cerral,Spain TV meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q138847774,1,False,Discovery lead
wd-q137942118,absolute unit,sheep-focussed meme,Digital culture,Narrative,Internet memes,Wikidata,https://www.wikidata.org/wiki/Q137942118,0,False,Discovery lead
